Codigo,Descripcion,Limitada a un Sexo,Limite Inferior de edad,Limite Superior de edad
A000,"Colera debido a Vibrio cholerae 01, biotipo cholerae",,,
A001,"Colera debido a Vibrio cholerae 01, biotipo el Tor",,,
A009,"Colera, no especificado",,,
A010,Fiebre tifoidea,,,
A011,Fiebre paratifoidea A,,,
A012,Fiebre paratifoidea B,,,
A013,Fiebre paratifoidea C,,,
A014,"Fiebre paratifoidea, no especificada",,,
A020,Enteritis debida a Salmonella,,,
A021,Sepsis debida a Salmonella,,,
A022,Infecciones localizadas debidas a Salmonella,,,
A028,Otras infecciones especificadas como debidas a Salmonella,,,
A029,"Infeccion debida a Salmonella, no especificada",,,
A030,Shigelosis debida a Shigella dysenteriae,,,
A031,Shigelosis debida a Shigella flexneri,,,
A032,Shigelosis debida a Shigella boydii,,,
A033,Shigelosis debida a Shigella sonnei,,,
A038,Otras shigelosis,,,
A039,Shigelosis de tipo no especificado,,,
A040,Infeccion debida a Escherichia coli enteropatogena,,,
A041,Infeccion debida a Escherichia coli enterotoxigena,,,
A042,Infeccion debida a Escherichia coli enteroinvasiva,,,
A043,Infeccion debida a Escherichia coli enterohemorragica,,,
A044,Otras infecciones intestinales debidas a Escherichia coli,,,
A045,Enteritis debida a Campylobacter,,,
A046,Enteritis debida a Yersinia enterocolitica,,,
A047,Enterocolitis debida a Clostridium difficile,,,
A048,Otras infecciones intestinales bacterianas especificadas,,,
A049,"Infeccion intestinal bacteriana, no especificada",,,
A050,Intoxicacion alimentaria estafilococica,,,
A051,Botulismo,,,
A052,Intoxicacion alimentaria debida a Clostridium perfringens [Clostridium welchii],,,
A053,Intoxicacion alimentaria debida a Vibrio parahaemolyticus,,,
A054,Intoxicacion alimentaria debida a Bacillus cereus,,,
A058,Otras intoxicaciones alimentarias debidas a bacterias especificadas,,,
A059,"Intoxicacion alimentaria bacteriana, no especificada",,,
A060,Disenteria amebiana aguda,,,
A061,Amebiasis intestinal cronica,,,
A062,Colitis amebiana no disenterica,,,
A063,Ameboma intestinal,,,
A064,Absceso amebiano del higado,,,
A065,Absceso amebiano del pulmon,,,
A066,Absceso amebiano del cerebro,,,
A067,Amebiasis cutanea,,,
A068,Infeccion amebiana de otras localizaciones,,,
A069,"Amebiasis, no especificada",,,
A070,Balantidiasis,,,
A071,Giardiasis [lambliasis],,,
A072,Criptosporidiosis,,,
A073,Isosporiasis,,,
A078,Otras enfermedades intestinales especificadas debidas a protozoarios,,,
A079,"Enfermedad intestinal debida a protozoarios, no especificada",,,
A080,Enteritis debida a rotavirus,,,
A081,Gastroenteropatia aguda debida al agente de Norwalk,,,
A082,Enteritis debida a adenovirus,,,
A083,Otras enteritis virales,,,
A084,"Infeccion intestinal viral, sin otra especificacion",,,
A085,Otras infecciones intestinales especificadas,,,
A090,Otras gastroenteritis y colitis de origen infeccioso,,,
A099,Gastroenteritis y colitis de origen no especificado,,,
A150,"Tuberculosis del pulmon, confirmada por hallazgo microscopico del bacilo tuberculoso en esputo, con o sin cultivo",,028D,120A
A151,"Tuberculosis del pulmon, confirmada unicamente por cultivo",,028D,120A
A152,"Tuberculosis del pulmon, confirmada histologicamente",,028D,120A
A153,"Tuberculosis del pulmon, confirmada por medios no especificados",,028D,120A
A154,"Tuberculosis de ganglios linfaticos intratoracicos, confirmada bacteriologica e histologicamente",,028D,120A
A155,"Tuberculosis de laringe, traquea y bronquios, confirmada bacteriologica e histologicamente",,028D,120A
A156,"Pleuresia tuberculosa, confirmada bacteriologica e histologicamente",,028D,120A
A157,"Tuberculosis respiratoria primaria, confirmada bacteriologica e histologicamente",,028D,120A
A158,"Otras tuberculosis respiratorias, confirmadas bacteriologica e histologicamente",,028D,120A
A159,"Tuberculosis respiratoria no especificada, confirmada bacteriologica e histologicamente",,028D,120A
A160,"Tuberculosis del pulmon, con examen bacteriologico e histologico negativos",,028D,120A
A161,"Tuberculosis de pulmon, sin examen bacteriologico e histologico",,028D,120A
A162,"Tuberculosis de pulmon, sin mencion de confirmacion bacteriologica o histologica",,028D,120A
A163,"Tuberculosis de ganglios linfaticos intratoracicos, sin mencion de confirmacion bacteriologica o histologica",,028D,120A
A164,"Tuberculosis de laringe, traquea y bronquios, sin mencion de confirmacion bacteriologica o histologica",,028D,120A
A165,"Pleuresia tuberculosa, sin mencion de confirmacion bacteriologica o histologica",,028D,120A
A167,"Tuberculosis respiratoria primaria, sin mencion de confirmacion bacteriologica o histologica",,028D,120A
A168,"Otras tuberculosis respiratorias, sin mencion de confirmacion",,028D,120A
A169,"Tuberculosis respiratoria no especificada, sin mencion de confirmacion bacteriologica o histologica",,028D,120A
A170,Meningitis tuberculosa,,028D,120A
A171,Tuberculoma meningeo,,028D,120A
A178,Otras tuberculosis del sistema nervioso,,028D,120A
A179,"Tuberculosis del sistema nervioso, no especificada",,028D,120A
A180,Tuberculosis de huesos y articulaciones,,028D,120A
A181,Tuberculosis del aparato genitourinario,,028D,120A
A182,Linfadenopatia periferica tuberculosa,,028D,120A
A183,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentericos",,028D,120A
A184,Tuberculosis de la piel y el tejido subcutaneo,,028D,120A
A185,Tuberculosis del ojo,,028D,120A
A186,Tuberculosis del oido,,028D,120A
A187,Tuberculosis de glandulas suprarrenales,,028D,120A
A188,Tuberculosis de otros organos especificados,,028D,120A
A190,Tuberculosis miliar aguda de un solo sitio especificado,,028D,120A
A191,Tuberculosis miliar aguda de sitios multiples,,028D,120A
A192,"Tuberculosis miliar aguda, no especificada",,028D,120A
A198,Otras tuberculosis miliares,,028D,120A
A199,"Tuberculosis miliar, sin otra especificacion",,028D,120A
A200,Peste bubonica,,,
A201,Peste celulocutanea,,,
A202,Peste neumonica,,,
A203,Meningitis por peste,,,
A207,Peste septicemica,,,
A208,Otras formas de peste,,,
A209,"Peste, no especificada",,,
A210,Tularemia ulceroglandular,,,
A211,Tularemia oculoglandular,,,
A212,Tularemia pulmonar,,,
A213,Tularemia gastrointestinal,,,
A217,Tularemia generalizada,,,
A218,Otras formas de tularemia,,,
A219,"Tularemia, no especificada",,,
A220,Carbunco cutaneo,,,
A221,Carbunco pulmonar,,,
A222,Carbunco gastrointestinal,,,
A227,Carbunco septico,,,
A228,Otras formas de carbunco,,,
A229,"Carbunco, no especificado",,,
A230,Brucelosis debida a Brucella melitensis,,,
A231,Brucelosis debida a Brucella abortus,,,
A232,Brucelosis debida a Brucella suis,,,
A233,Brucelosis debida a Brucella canis,,,
A238,Otras brucelosis,,,
A239,"Brucelosis, no especificada",,,
A240,Muermo,,,
A241,Melioidosis aguda y fulminante,,,
A242,Melioidosis subaguda y cronica,,,
A243,Otras melioidosis,,,
A244,"Melioidosis, no especificada",,,
A250,Espirilosis,,,
A251,Estreptobacilosis,,,
A259,"Fiebre por mordedura de rata, no especificada",,,
A260,Erisipeloide cutaneo,,,
A267,Sepsis por Erysipelothrix,,,
A268,Otras formas de erisipeloide,,,
A269,"Erisipeloide, no especificada",,,
A270,Leptospirosis icterohemorragica,,,
A278,Otras formas de leptospirosis,,,
A279,"Leptospirosis, no especificada",,,
A280,Pasteurelosis,,,
A281,Enfermedad por rasguno de gato,,,
A282,Yersiniosis extraintestinal,,,
A288,"Otras enfermedades zoonoticas bacterianas especificadas, no clasificadas en otra parte",,,
A289,"Enfermedad zoonotica bacteriana, sin otra especificacion",,,
A300,Lepra indeterminada,,010A,120A
A301,Lepra tuberculoide,,010A,120A
A302,Lepra tuberculoide limitrofe,,010A,120A
A303,Lepra limitrofe,,010A,120A
A304,Lepra lepromatosa limitrofe,,010A,120A
A305,Lepra lepromatosa,,010A,120A
A308,Otras formas de lepra,,010A,120A
A309,"Lepra, no especificada",,010A,120A
A310,Infecciones por micobacterias pulmonares,,,
A311,Infeccion cutanea por micobacterias,,,
A318,Otras infecciones por micobacterias,,,
A319,"Infeccion por micobacteria, no especificada",,,
A320,Listeriosis cutanea,,028D,120A
A321,Meningitis y meningoencefalitis listeriana,,028D,120A
A327,Sepsis listeriana,,028D,120A
A328,Otras formas de listeriosis,,028D,120A
A329,"Listeriosis, no especificada",,028D,120A
A33X,Tetanos neonatal,,000H,027D
A34X,Tetanos obstetrico,2,010A,054A
A35X,Otros tetanos,,028D,120A
A360,Difteria faringea,,,
A361,Difteria nasofaringea,,,
A362,Difteria laringea,,,
A363,Difteria cutanea,,,
A368,Otras difterias,,,
A369,"Difteria, no especificada",,,
A370,Tos ferina debida a Bordetella pertussis,,,
A371,Tos ferina debida a Bordetella parapertussis,,,
A378,Tos ferina debida a otras especies de Bordetella,,,
A379,"Tos ferina, no especificada",,,
A38X,Escarlatina,,,
A390,Meningitis meningococica,,,
A391,Sindrome de Waterhouse-Friderichsen,,,
A392,Meningococemia aguda,,,
A393,Meningococemia cronica,,,
A394,"Meningococemia, no especificada",,,
A395,Enfermedad cardiaca debida a meningococo,,,
A398,Otras formas de enfermedad meningococica,,,
A399,"Enfermedad meningococica, no especificada",,,
A400,"Sepsis debida a estreptococo, grupo A",,028D,120A
A401,"Sepsis debida a estreptococo, grupo B",,028D,120A
A402,"Sepsis debida a estreptococo, grupo D",,028D,120A
A403,Sepsis debida a Streptococcus pneumoniae,,028D,120A
A408,Otras sepsis estreptococicas,,028D,120A
A409,"Sepsis estreptococica, no especificada",,028D,120A
A410,Sepsis debida a Staphylococcus aureus,,028D,120A
A411,Sepsis debida a otro estafilococo especificado,,028D,120A
A412,Sepsis debida a estafilococo no especificado,,028D,120A
A413,Sepsis debida a Haemophilus influenzae,,028D,120A
A414,Sepsis debida a anaerobios,,028D,120A
A415,Sepsis debida a otros organismos gramnegativos,,028D,120A
A418,Otras sepsis especificadas,,028D,120A
A419,"Sepsis, no especificada",,028D,120A
A420,Actinomicosis pulmonar,,,
A421,Actinomicosis abdominal,,,
A422,Actinomicosis cervicofacial,,,
A427,Sepsis actinomicotica,,,
A428,Otras formas de actinomicosis,,,
A429,"Actinomicosis, sin otra especificacion",,,
A430,Nocardiosis pulmonar,,,
A431,Nocardiosis cutanea,,,
A438,Otras formas de nocardiosis,,,
A439,"Nocardiosis, no especificada",,,
A440,Bartonelosis sistemica,,,
A441,Bartonelosis cutanea y mucocutanea,,,
A448,Otras formas de bartonelosis,,,
A449,"Bartonelosis, no especificada",,,
A46X,Erisipela,,,
A480,Gangrena gaseosa,,,
A481,Enfermedad de los legionarios,,,
A482,Enfermedad de los legionarios no neumonica (fiebre de Pontiac),,,
A483,Sindrome del choque toxico,,,
A484,Fiebre purpurica brasilena,,,
A488,Otras enfermedades bacterianas especificadas,,,
A490,"Infeccion estafilococica, sitio no especificado ",,,
A491,"Infeccion estreptococica, sitio no especificado ",,,
A492,"Infeccion por Haemophilus influenzae, sitio no especificado",,,
A493,"Infeccion por micoplasma, sitio no especificado",,,
A498,Otras infecciones bacterianas de sitio no especificado,,,
A499,"Infeccion bacteriana, no especificada",,,
A500,"Sifilis congenita precoz, sintomatica",,,
A501,"Sifilis congenita precoz, latente",,,
A502,"Sifilis congenita precoz, sin otra especificacion",,,
A503,Oculopatia sifilitica congenita tardia,,,
A504,Neurosifilis congenita tardia [neurosifilis juvenil],,002A,120A
A505,"Otras formas de sifilis congenita tardia, sintomatica",,002A,120A
A506,"Sifilis congenita tardia, latente",,002A,120A
A507,"Sifilis congenita tardia, sin otra especificacion",,002A,120A
A509,"Sifilis congenita, sin otra especificacion",,,
A510,Sifilis genital primaria,,,
A511,Sifilis primaria anal,,,
A512,Sifilis primaria en otros sitios,,,
A513,Sifilis secundaria de piel y membranas mucosas,,,
A514,Otras sifilis secundarias,,,
A515,"Sifilis precoz, latente",,,
A519,"Sifilis precoz, sin otra especificacion",,,
A520,Sifilis cardiovascular,,002A,120A
A521,Neurosifilis sintomatica,,002A,120A
A522,Neurosifilis asintomatica,,002A,120A
A523,Neurosifilis no especificada,,002A,120A
A527,Otras sifilis tardias sintomaticas,,002A,120A
A528,"Sifilis tardia, latente",,002A,120A
A529,"Sifilis tardia, no especificada",,002A,120A
A530,"Sifilis latente, no especificada como precoz o tardia",,002A,120A
A539,"Sifilis, no especificada",,002A,120A
A540,Infeccion gonococica del tracto genitourinario inferior sin absceso periuretral y de glandula accesoria,,,
A541,Infeccion gonococica del tracto genitourinario inferior con absceso periuretral y de glandulas accesorias,,,
A542,Pelviperitonitis gonococica y otras infecciones gonococicas genitourinarias,,,
A543,Infeccion gonococica del ojo,,,
A544,Infeccion gonococica del sistema osteomuscular,,,
A545,Faringitis gonococica,,,
A546,Infeccion gonococica del ano y del recto,,,
A548,Otras infecciones gonococicas,,,
A549,"Infeccion gonococica, no especificada",,,
A55X,Linfogranuloma (venereo) por clamidias,,,
A560,Infeccion del tracto genitourinario inferior debida a clamidias,,,
A561,Infeccion del pelviperitoneo y otros organos genitourinarios debida a clamidias,,,
A562,"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificacion",,,
A563,Infeccion del ano y del recto debida a clamidias,,,
A564,Infeccion de faringe debida a clamidias,,,
A568,Infeccion de transmision sexual de otros sitios debida a clamidias,,,
A57X,Chancro blando,,,
A58X,Granuloma inguinal,,,
A590,Tricomoniasis urogenital,,,
A598,Tricomoniasis de otros sitos,,,
A599,"Tricomoniasis, no especificada",,,
A600,Infeccion de genitales y trayecto urogenital debida a virus del herpes [herpes simple],,,
A601,Infeccion de la piel perianal y recto por virus del herpes simple,,,
A609,"Infeccion anogenital por virus del herpes simple, sin otra especificacion",,,
A630,Verrugas (venereas) anogenitales,,,
A638,"Otras enfermedades de transmision predominantemente sexual, especificadas",,,
A64X,Enfermedad de transmision sexual no especificada,,,
A65X,Sifilis no venerea,,,
A660,Lesiones iniciales de frambesia,,,
A661,Lesiones papilomatosas multiples y frambesia con paso de cangrejo,,,
A662,Otras lesiones precoces de la piel en la frambesia,,,
A663,Hiperqueratosis de frambesia,,,
A664,Goma y ulceras de frambesia,,,
A665,Gangosa,,,
A666,Lesiones frambesicas de los huesos y de las articulaciones,,,
A667,Otras manifestaciones de frambesia,,,
A668,Frambesia latente,,,
A669,"Frambesia, no especificada",,,
A670,Lesiones primarias de la pinta,,,
A671,Lesiones intermedias de la pinta,,,
A672,Lesiones tardias de la pinta,,,
A673,Lesiones mixtas de la pinta,,,
A679,"Pinta, no especificada",,,
A680,Fiebre recurrente transmitida por piojos,,,
A681,Fiebre recurrente transmitida por garrapatas,,,
A689,"Fiebre recurrente, no especificada",,,
A690,Estomatitis ulcerativa necrotizante,,,
A691,Otras infecciones de Vincent,,,
A692,Enfermedad de Lyme,,,
A698,Otras infecciones especificadas por espiroquetas,,,
A699,"Infeccion por espiroqueta, no especificada",,,
A70X,Infeccion debida a Chlamydia psittaci,,,
A710,Estado inicial de tracoma,,,
A711,Estado activo de tracoma,,,
A719,"Tracoma, no especificado",,,
A740,Conjuntivitis por clamidias,,028D,120A
A748,Otras enfermedades por clamidias,,,
A749,"Infeccion por clamidias, no especificada",,,
A750,Tifus epidemico debido a Rickettsia prowazekii transmitido por piojos,,,
A751,Tifus recrudescente [enfermedad de Brill],,,
A752,Tifus debido a Rickettsia typhi,,,
A753,Tifus debido a Rickettsia tsutsugamushi,,,
A759,"Tifus, no especificado",,,
A770,Fiebre maculosa debida a Rickettsia rickettsii,,,
A771,Fiebre maculosa debida a Rickettsia conorii,,,
A772,Fiebre maculosa debida a Rickettsia siberica,,,
A773,Fiebre maculosa debida a Rickettsia australis,,,
A778,Otras fiebres maculosas,,,
A779,"Fiebre maculosa, no especificada",,,
A78X,Fiebre Q,,,
A790,Fiebre de las trincheras,,,
A791,Rickettsiosis pustulosa debida a Rickettsia akari,,,
A798,Otras rickettsiosis especificadas,,,
A799,"Rickettsiosis, no especificada",,,
A800,"Poliomielitis aguda paralitica, asociada a vacuna",,000H,015A
A801,Poliomielitis aguda paralitica debida a virus salvaje importado,,000H,015A
A802,Poliomielitis aguda paralitica debida a virus salvaje autoctono,,000H,015A
A803,Otras poliomielitis agudas paraliticas y las no especificadas,,000H,015A
A804,Poliomielitis aguda no paralitica,,000H,015A
A809,"Poliomielitis aguda, sin otra especificacion",,000H,015A
A810,Enfermedad de Creutzfeldt-Jakob,,,
A811,Panencefalitis esclerosante subaguda,,,
A812,Leucoencefalopatia multifocal progresiva,,,
A818,Otras infecciones del sistema nervioso central por virus atipico,,,
A819,"Infecciones del sistema nervioso central por virus atipico, sin otra especificacion",,,
A820,Rabia selvatica,,,
A821,Rabia urbana,,,
A829,"Rabia, sin otra especificacion",,,
A830,Encefalitis japonesa,,,
A831,Encefalitis equina del oeste,,,
A832,Encefalitis equina del este,,,
A833,Encefalitis de San Luis,,,
A834,Encefalitis australiana,,,
A835,Encefalitis de California,,,
A836,Enfermedad por virus Rocio,,,
A838,Otras encefalitis virales transmitidas por mosquitos,,,
A839,"Encefalitis viral transmitida por mosquitos, sin otra especificacion",,,
A840,Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa],,,
A841,Encefalitis centroeuropea transmitida por garrapatas,,,
A848,Otras encefalitis virales transmitida por garrapatas,,,
A849,"Encefalitis viral transmitida por garrapatas, sin otra especificacion",,,
A850,Encefalitis enteroviral,,,
A851,Encefalitis por adenovirus,,,
A852,"Encefalitis viral transmitida por artropodos, sin otra especifcacion",,,
A858,Otras encefalitis virales especifcadas,,,
A86X,"Encefalitis viral, no especificada",,,
A870,Meningitis enteroviral,,,
A871,Meningitis debida a adenovirus,,,
A872,Coriomeningitis linfocitica,,,
A878,Otras meningitis virales,,,
A879,"Meningitis viral, sin otra especificacion",,,
A880,Fiebre exantematica enteroviral [exantema de Boston],,,
A881,Vertigo epidemico,,,
A888,Otras infecciones virales especificadas del sistema nervioso central,,,
A89X,"Infeccion viral del sistema nervioso central, no especificada",,,
A90X,Fiebre del dengue [dengue clasico],,,
A91X,Fiebre del dengue hemorragico,,,
A920,Enfermedad por virus Chikungunya,,,
A921,Fiebre de O'nyong-nyong,,,
A922,Fiebre equina venezolana,,,
A923,Infeccion por virus del oeste del Nilo,,,
A924,Fiebre del valle del Rift,,,
A928,Otras fiebres virales especificadas transmitidas por mosquitos,,,
A929,"Fiebre viral transmitida por mosquito, sin otra especificacion",,,
A930,Enfermedad por virus de  Oropouche,,,
A931,Fiebre transmitida por flebotomos,,,
A932,Fiebre de Colorado transmitida por garrapatas,,,
A938,Otras fiebres virales especificadas transmitidas por artropodos,,,
A94X,"Fiebre viral transmitida por artropodos, no especificada",,,
A950,Fiebre amarilla selvatica,,,
A951,Fiebre amarilla urbana,,,
A959,"Fiebre amarilla, no especificada",,,
A960,Fiebre hemorragica de Junin,,,
A961,Fiebre hemorragica de Machupo,,,
A962,Fiebre de Lassa,,,
A968,Otras fiebres hemorragicas por arenavirus,,,
A969,"Fiebre hemorragica por arenavirus, sin otra especificacion",,,
A980,Fiebre hemorragica de Crimea-Congo,,,
A981,Fiebre hemorragica de Omsk,,,
A982,Enfermedad de la selva Kyasanur,,,
A983,Enfermedad por el virus de Marburg,,,
A984,Enfermedad por el virus de Ebola,,,
A985,Fiebres hemorragicas con sindrome renal,,,
A988,Otras fiebres hemorragicas virales especificadas,,,
A99X,"Fiebre viral hemorragica, no especificada",,,
B000,Eczema herpetico,,,
B001,Dermatitis vesicular herpetica,,,
B002,Gingivoestomatitis y faringoamigdalitis herpetica,,,
B003,Meningitis herpetica,,,
B004,Encefalitis herpetica,,,
B005,Oculopatia herpetica,,,
B007,Enfermedad herpetica diseminada,,,
B008,Otras formas de infecciones herpeticas,,,
B009,"Infeccion debida al virus del herpes, no especificada",,,
B010,Meningitis debida a varicela,,,
B011,Encefalitis debida a varicela,,,
B012,Neumonia debida a varicela,,,
B018,Varicela con otras complicaciones,,,
B019,Varicela sin complicaciones,,,
B020,Encefalitis debida a herpes zoster,,,
B021,Meningitis debida a herpes zoster,,,
B022,Herpes zoster con otros compromisos del sistema nervioso,,,
B023,Herpes zoster ocular,,,
B027,Herpes zoster diseminado,,,
B028,Herpes zoster con otras complicaciones,,,
B029,Herpes zoster sin complicaciones,,,
B03X,Viruela,,,
B04X,Viruela de los monos,,,
B050,Sarampion complicado con encefalitis,,,
B051,Sarampion complicado con meningitis,,,
B052,Sarampion complicado con neumonia,,,
B053,Sarampion complicado con otitis media,,,
B054,Sarampion con complicaciones intestinales,,,
B058,Sarampion con otras complicaciones,,,
B059,Sarampion sin complicaciones,,,
B060,Rubeola con complicaciones neurologicas,,028D,120A
B068,Rubeola con otras complicaciones,,028D,120A
B069,Rubeola sin complicaciones,,028D,120A
B07X,Verrugas viricas,,,
B080,Otras infecciones debidas a ortopoxvirus,,,
B081,Molusco contagioso,,,
B082,Exantema subito [sexta enfermedad],,,
B083,Eritema infeccioso [quinta enfermedad],,,
B084,Estomatitis vesicular enteroviral con exantema,,,
B085,Faringitis vesicular enterovirica,,,
B088,"Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas",,,
B09X,"Infeccion viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",,,
B150,"Hepatitis aguda tipo A, con coma hepatico",,,
B159,"Hepatitis aguda tipo A, sin coma hepatico",,,
B160,"Hepatitis aguda tipo B, con agente delta (coinfeccion), con coma hepatico",,,
B161,"Hepatitis aguda tipo B, con agente delta (coinfeccion), sin coma hepatico",,,
B162,"Hepatitis aguda tipo B, sin agente delta, con coma hepatico",,,
B169,"Hepatitis aguda tipo B, sin agente delta y sin coma hepatico",,,
B170,Infeccion (superinfeccion) aguda por agente delta en el portador de hepatitis B,,,
B171,Hepatitis aguda tipo C,,,
B172,Hepatitis aguda tipo E,,,
B178,Otras hepatitis virales agudas especificadas,,,
B179,Hepatitis viral aguda no especificada,,,
B180,"Hepatitis viral tipo B cronica, con agente delta",,,
B181,"Hepatitis viral tipo B cronica, sin agente delta",,,
B182,Hepatitis viral tipo C cronica,,,
B188,Otras hepatitis virales cronicas,,,
B189,"Hepatitis viral cronica, sin otra especificacion",,,
B190,Hepatitis viral no especificada con coma hepatico,,028D,120A
B199,Hepatitis viral no especificada sin coma hepatico,,028D,120A
B200,"Enfermedad por VIH, resultante en infeccion por micobacterias",,,
B201,"Enfermedad por VIH, resultante en otras infecciones bacterianas",,,
B202,"Enfermedad por VIH, resultante en enfermedad por citomegalovirus",,,
B203,"Enfermedad por VIH, resultante en otras infecciones virales",,,
B204,"Enfermedad por VIH, resultante en candidiasis",,,
B205,"Enfermedad por VIH, resultante en otras micosis",,,
B206,"Enfermedad por VIH, resultante en neumonia por Pneumocystis carinii",,,
B207,"Enfermedad por VIH, resultante en infecciones multiples",,,
B208,"Enfermedad por VIH, resultante en otras enfermedades infecciosas o parasitarias",,,
B209,"Enfermedad por VIH, resultante en enfermedad infecciosa o parasitaria no especificada",,,
B210,"Enfermedad por VIH, resultante en sarcoma de Kaposi",,,
B211,"Enfermedad por VIH, resultante en linfoma de Burkitt",,,
B212,"Enfermedad por VIH, resultante en otros tipos de linfoma no Hodgkin",,,
B213,"Enfermedad por VIH, resultante en otros tumores malignos del tejido linfoide, hematopoyetico y tejidos relacionados",,,
B217,"Enfermedad por VIH, resultante en tumores malignos multiples",,,
B218,"Enfermedad por VIH, resultante en otros tumores malignos",,,
B219,"Enfermedad por VIH, resultante en tumores malignos no especificados",,,
B220,"Enfermedad por VIH, resultante en encefalopatia",,,
B221,"Enfermedad por VIH, resultante en neumonitis linfoide intersticial",,,
B222,"Enfermedad por VIH, resultante en sindrome caquectico",,,
B227,"Enfermedad por VIH, resultante en enfermedades multiples clasificadas en otra parte",,,
B230,Sindrome de infeccion aguda debida a VIH,,,
B231,"Enfermedad por VIH, resultante en linfadenopatia generalizada (persistente)",,,
B232,"Enfermedad por VIH, resultante en anormalidades inmunologicas y hematologicas, no clasificadas en otra parte",,,
B238,"Enfermedad por VIH, resultante en otras afecciones especificadas",,,
B24X,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificacion",,,
B250,Neumonitis debida a virus citomegalico,,,
B251,Hepatitis debida a virus citomegalico,,,
B252,Pancreatitis debida a virus citomegalico,,,
B258,Otras enfermedades debidas a virus citomegalico,,,
B259,"Enfermedad por virus citomegalico, no especificada",,,
B260,Orquitis por parotiditis,1,028D,120A
B261,Meningitis por parotiditis,,,
B262,Encefalitis por parotiditis,,,
B263,Pancreatitis por parotiditis,,,
B268,Parotiditis infecciosa con otras complicaciones,,,
B269,"Parotiditis, sin complicaciones",,,
B270,Mononucleosis debida a herpes virus gamma,,,
B271,Mononucleosis por citomegalovirus,,,
B278,Otras mononucleosis infecciosas,,,
B279,"Mononucleosis infecciosa, no especificada",,,
B300,Queratoconjuntivitis debida a adenovirus,,,
B301,Conjuntivitis debida a adenovirus,,,
B302,Faringoconjuntivitis viral,,,
B303,Conjuntivitis epidemica aguda hemorragica (enterovirica),,,
B308,Otras conjuntivitis virales,,,
B309,"Conjuntivitis viral, sin otra especificacion",,,
B330,Mialgia epidemica,,,
B331,Enfermedad del rio Ross,,,
B332,Carditis viral,,,
B333,"Infecciones debidas a retrovirus, no clasificadas en otra parte",,,
B334,Sindrome (cardio) pulmonar por hantavirus [SPH] [SCPH] ,,,
B338,Otras enfermedades virales especificadas,,,
B340,"Infeccion debida a adenovirus, sin otra especificacion",,,
B341,"Infeccion debida a enterovirus, sin otra especificacion",,,
B342,"Infeccion debida a Coronavirus, sin otra especificacion",,,
B343,"Infeccion debida a Parvovirus, sin otra especificacion",,,
B344,"Infeccion debida a Papovavirus, sin otra especificacion",,,
B348,Otras infecciones virales de sitio no especificado,,,
B349,"Infeccion viral, no especificada",,,
B350,Tina de la barba y del cuero cabelludo,,,
B351,Tina de las unas,,,
B352,Tina de la mano,,,
B353,Tina del pie [Tinea pedis],,,
B354,Tina del cuerpo [Tinea corporis],,,
B355,Tina imbricada [Tinea imbricata],,,
B356,Tina inguinal [Tinea cruris],,,
B358,Otras dermatofitosis,,,
B359,"Dermatofitosis, no especificada",,,
B360,Pitiriasis versicolor,,,
B361,Tina negra,,,
B362,Piedra blanca,,,
B363,Piedra negra,,,
B368,Otras micosis superficiales especificadas,,,
B369,"Micosis superficial, sin otra especificacion",,,
B370,Estomatitis candidiasica,,028D,120A
B371,Candidiasis pulmonar,,028D,120A
B372,Candidiasis de la piel y las unas,,028D,120A
B373,Candidiasis de la vulva y de la vagina,2,028D,120A
B374,Candidiasis de otras localizaciones urogenitales,,028D,120A
B375,Meningitis debida a Candida,,028D,120A
B376,Endocarditis debida a Candida,,028D,120A
B377,Sepsis debida a Candida,,028D,120A
B378,Candidiasis de otros sitios,,028D,120A
B379,"Candidiasis, no especificada",,028D,120A
B380,Coccidioidomicosis pulmonar aguda,,,
B381,Coccidioidomicosis pulmonar cronica,,,
B382,"Coccidioidomicosis pulmonar, sin otra especificacion",,,
B383,Coccidioidomicosis cutanea,,,
B384,Meningitis debida a coccidioidomicosis,,,
B387,Coccidioidomicosis diseminada,,,
B388,Otras formas de coccidioidomicosis,,,
B389,"Coccidioidomicosis, no especificada",,,
B390,Infeccion pulmonar aguda debida a Histoplasma capsulatum,,,
B391,Infeccion pulmonar cronica debida a Histoplasma capsulatum,,,
B392,"Infeccion pulmonar debida a Histoplasma capsulatum, sin otra especificacion",,,
B393,Infeccion diseminada debida a Histoplasma capsulatum,,,
B394,"Histoplasmosis debida a Histoplasma capsulatum, sin otra especificacion",,,
B395,Infeccion debida a Histoplasma duboisii,,,
B399,"Histoplasmosis, no especificada",,,
B400,Blastomicosis pulmonar aguda,,,
B401,Blastomicosis pulmonar cronica,,,
B402,"Blastomicosis pulmonar, sin otra especificacion",,,
B403,Blastomicosis cutanea,,,
B407,Blastomicosis diseminada,,,
B408,Otras formas de blastomicosis,,,
B409,"Blastomicosis, no especificada",,,
B410,Paracoccidioidomicosis pulmonar,,,
B417,Paracoccidioidomicosis diseminada,,,
